Unnamed: 0,Palutena,Joker,Peach/Daisy,Pikachu,Zero Suit Samus,Wario,Lucina,Pokémon Trainer,Inkling,Wolf,Fox,Snake,Mario,Mr. Game & Watch,R.O.B.,Roy,Olimar,Mega Man,Young Link,Cloud,Ness
Palutena,0.0,-0.4,0.2,-1.1,-0.2,0.5,-0.1,-0.4,-0.5,0.0,0.2,0.6,0.8,1.2,1.1,-0.4,0.5,0.7,1.3,0.0,1.8
Joker,0.4,0.0,0.0,-1.0,0.8,0.6,0.5,0.3,-0.8,0.5,0.5,0.6,0.1,0.3,0.2,0.6,0.8,-0.3,0.9,1.0,0.3
Peach/Daisy,-0.2,0.0,0.0,0.3,-0.5,0.5,-0.2,0.0,0.9,0.4,0.2,-0.2,0.3,-0.9,-0.2,0.0,1.2,-0.1,-0.1,-0.3,0.7
Lucina,0.1,-0.5,0.2,-0.6,-0.3,0.4,0.0,-0.1,-0.4,0.0,0.4,0.0,0.9,0.6,0.4,0.0,1.0,0.2,0.5,0.4,1.8
Pokémon Trainer,0.4,-0.3,0.0,-0.9,0.4,0.3,0.1,0.0,-0.2,0.0,0.0,0.4,-0.1,0.5,-0.6,-0.2,-0.7,-0.7,-1.2,0.5,0.8
Wolf,0.0,-0.5,-0.4,-1.2,0.9,0.3,0.0,0.0,-0.4,0.0,0.0,-0.1,-0.2,0.0,-0.7,-0.4,1.3,0.9,1.8,0.7,0.1
Mr. Game & Watch,-1.2,-0.3,0.9,1.1,-1.2,0.6,-0.6,-0.5,0.4,0.0,1.3,0.8,0.2,0.0,1.7,-0.1,-0.2,0.0,0.0,-1.0,1.6
Roy,0.4,-0.6,0.0,-1.0,0.7,-0.1,0.0,0.2,-0.4,0.4,0.1,-0.1,0.1,0.1,0.7,0.0,0.5,0.5,0.9,0.8,0.5
Young Link,-1.3,-0.9,0.1,-1.2,0.0,-0.3,-0.5,1.2,-0.5,-1.8,-1.0,-0.3,0.0,0.0,0.6,-0.9,-0.2,-0.1,0.0,-0.7,0.5
