,0
0,4
1,26
2,37
3,49
4,58
5,59
6,66
7,99
8,100
9,106
10,116
11,141
12,153
13,167
14,168
15,169
16,174
17,179
18,188
19,189
20,191
21,195
22,203
23,214
24,216
25,235
26,245
27,272
28,274
29,294
30,315
31,355
32,356
33,359
34,367
35,397
36,417
37,427
38,441
39,443
40,447
41,459
42,467
43,470
44,480
45,482
46,483
47,487
48,494
49,504
50,524
