,0
0,10
1,11
2,13
3,14
4,44
5,70
6,75
7,117
8,128
9,133
10,192
11,250
12,255
13,258
14,307
15,395
16,410
17,422
18,468
19,472
20,508
21,530
22,545
23,550
24,556
25,570
26,574
27,583
28,588
29,593
30,595
31,596
32,600
33,604
