,0
0,6
1,23
2,27
3,34
4,67
5,119
6,125
7,138
8,182
9,210
10,229
11,232
12,234
13,243
14,252
15,326
16,344
17,363
18,376
19,428
20,456
21,471
22,542
23,559
24,562
25,568
26,569
27,575
28,579
29,582
30,598
