,0
0,24
1,83
2,85
3,102
4,118
5,129
6,201
7,220
8,223
9,248
10,277
11,282
12,283
13,285
14,293
15,310
16,314
17,317
18,331
19,343
20,350
21,353
22,413
23,439
24,469
25,477
26,498
27,512
28,513
