,date,open,high,low,close,volume,change,vwap,changeOverTime
0,2014-02-21,33.7514,34.1162,33.6803,33.787,38030656,0.20460899999999999,33.8728,0.0
1,2014-02-24,33.529,33.7826,33.3956,33.529,32143395,-0.257986,33.6365,-0.0076360730458459045
2,2014-02-25,33.4579,33.6714,33.2266,33.3956,30867657,-0.133441,33.4736,-0.01158433717110123
3,2014-02-26,33.4313,33.5735,33.0843,33.3333,41042629,-0.06227100000000001,33.3624,-0.013428241631396623
4,2014-02-27,33.3155,33.707,33.1198,33.6803,33919024,0.34694200000000003,33.4569,-0.003158019356557151
5,2014-02-28,33.787,34.214,33.6447,34.0806,41217028,0.400323,34.0135,0.00868973273744333
6,2014-03-03,33.7337,33.9205,33.3556,33.6091,29716052,-0.471488,33.5567,-0.005265338739752007
7,2014-03-04,33.9827,34.2318,33.8671,34.1696,26868337,0.560447,34.1003,0.011323881966436902
8,2014-03-05,34.0272,34.0449,33.7426,33.9027,20520432,-0.26688,33.9121,0.003424393997691536
9,2014-03-06,33.9294,34.0183,33.707,33.9383,23605310,0.035586,33.8687,0.004478053689288753
10,2014-03-07,34.0539,34.1251,33.529,33.7159,26596635,-0.22239899999999999,33.696999999999996,-0.0021043596649599336
11,2014-03-10,33.7959,33.8137,33.5557,33.6447,19007850,-0.07117000000000001,33.6571,-0.004211679048154579
12,2014-03-11,33.6892,34.0094,33.5557,33.8226,25218133,0.177921,33.8088,0.001053659691597428
13,2014-03-12,33.6269,34.1874,33.618,34.045,30496295,0.2224,33.9848,0.007636073045846114
14,2014-03-13,34.1785,34.2051,33.4858,33.707,32169650,-0.33805100000000005,34.2584,-0.002367774587859185
15,2014-03-14,33.4944,33.9249,33.3652,33.5379,27195638,-0.169024,33.6925,-0.0073726581229466535
16,2014-03-17,33.7159,34.1696,33.618,33.8493,20479610,0.311363,33.9313,0.0018439044602953933
17,2014-03-18,34.0361,35.4951,34.0005,35.1837,64063866,1.3344,35.0623,0.04133838458578752
18,2014-03-19,35.1125,35.1837,34.6144,34.9346,35597241,-0.249088,34.4637,0.033965726462840864
19,2014-03-20,34.9168,36.1614,34.9079,35.8776,59269801,0.942974,35.741,0.061875869417231534
20,2014-03-21,36.2245,36.4203,35.5929,35.7264,80731942,-0.151232,32.2884,0.0574007754461775
21,2014-03-24,35.8865,36.1534,35.4595,36.0288,46098374,0.302465,35.8521,0.06635096338828537
22,2014-03-25,36.1712,36.4647,35.5484,35.8865,43193147,-0.142335,35.8483,0.0621392843401308
23,2014-03-26,36.010999999999996,36.2112,35.2282,35.3972,41982966,-0.48928,35.4309,0.047657383017136734
24,2014-03-27,35.3527,35.5573,34.9969,35.0147,35369170,-0.38252800000000003,34.9363,0.036336460768934764
25,2014-03-28,35.3972,36.1489,35.2994,35.8509,43472747,0.836224,35.9056,0.06108562464853357
26,2014-03-31,35.9666,36.9184,35.9399,36.4647,46886284,0.6138239999999999,36.6225,0.07925237517388349
27,2014-04-01,36.6071,36.9985,36.5359,36.8473,32610395,0.382529,36.7984,0.09057625714032018
28,2014-04-02,36.8651,37.0608,36.6249,36.785,28607267,-0.062272,36.7778,0.08873235268002479
29,2014-04-03,36.7316,36.7316,36.2156,36.4825,30139567,-0.302466,36.4425,0.0797792050196822
30,2014-04-04,36.696,36.8206,35.2638,35.4684,51409573,-1.0141,35.7026,0.0497647024003316
31,2014-04-07,35.5484,35.8242,35.3527,35.4061,37559615,-0.062274,35.5736,0.0479207979400362
32,2014-04-08,35.3616,35.5218,34.8723,35.4239,35919609,0.017793,35.3136,0.04844762778583492
33,2014-04-09,35.5218,36.0733,35.4773,36.0021,27398687,0.5782390000000001,35.8226,0.0655607186195874
34,2014-04-10,35.9754,36.1979,34.7745,35.0147,45960848,-0.987454,35.3619,0.036336460768934764
35,2014-04-11,34.6944,35.3972,34.6944,34.8804,34333298,-0.134331,35.0303,0.03236155917956618
36,2014-04-14,34.7923,35.0592,34.6055,34.8546,32006651,-0.0258,34.8307,0.03159795187498147
37,2014-04-15,34.9969,35.5484,34.7389,35.3616,33978673,0.507074,35.2009,0.04660372332553952
38,2014-04-16,35.6374,35.9532,35.4995,35.9399,30616304,0.578242,36.1143,0.06371977387752692
39,2014-04-17,35.5929,35.7575,35.1481,35.5929,36689399,-0.346946,35.536,0.05344955160268746
