,0
0,46
1,72
2,80
3,139
4,144
5,180
6,208
7,211
8,236
9,256
10,273
11,311
12,322
13,360
14,361
15,368
16,405
17,416
18,431
19,479
20,488
21,505
22,506
23,517
24,519
